game_name,reviews_like_rate,all_reviews_number,release_date,developer,user_defined_tags,supported_os,supported_languages,price,other_features,age_restriction,rating,difficulty,length,estimated_downloads
F1® 25,88,394,"30 May, 2025",Codemasters,"Driving, Sports, Simulation",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America",59.99,"Single-player, Online PvP, LAN PvP, Shared/Split Screen PvP, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, VR Supported, Steam Workshop, In-App Purchases, Steam Cloud, HDR available, Family Sharing",0,3.8,4,18,30800
Dead by Daylight,79,578396,"14 Jun, 2016",Behaviour Interactive Inc.,"Horror, Survival, Stealth",win,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Thai, Traditional Chinese, Japanese, Korean, Polish, Spanish - Latin America, Turkish",14.99,"Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",17,3.42,4,65,301000
RoadCraft,72,5134,"20 May, 2025",Saber Interactive,"Simulation, Building, Driving",win,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Traditional Chinese, Polish, Portuguese - Brazil, Russian, Czech, Korean, Arabic, Turkish, Japanese",27.99,"Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,3.2,3,26,325900
Football Manager 2024,90,13439,"6 Nov, 2023",Sports Interactive,"Simulation, Sports, Management, Strategy","win, mac","English, French, Italian, German, Spanish - Spain, Danish, Dutch, Greek, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Swedish, Turkish",39.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,3.43,4,73,1340000
R.E.P.O.,96,147407,"26 Feb, 2025",semiwork,"Early Access, Horror",win,English,5.79,"Single-player, Online Co-op, Steam Cloud, Family Sharing",10,3.58,4,54,12950000
Detroit: Become Human,95,143663,"18 Jun, 2020",Quantic Dream,"Story Rich, Visual Novel",win,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Danish, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Spanish - Latin America, Swedish, Turkish, Dutch, Russian, Traditional Chinese, Simplified Chinese",31.99,"Single-player, Steam Achievements, Steam Cloud, Remote Play on TV, Family Sharing",17,4.01,2,18,5590000
HELLDIVERS™ 2,77,730995,"8 Feb, 2024",Arrowhead Game Studios,"Shooter, Action",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Spanish - Latin America, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chinese",39.99,"Online Co-op, Steam Achievements, In-App Purchases, Family Sharing",17,3.94,4,77,55220000
Apex Legends™,67,993928,"5 Nov, 2020",Respawn,"FPS, Action, Survival",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Arabic",0.0,"Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases",13,3.5,3,65,93560000
World of Warships,77,146455,"15 Nov, 2017",Wargaming Group Limited,"Shooter, Action, Tactical, Simulation, Realistic",win,"English, French, German, Czech, Japanese, Polish, Russian, Thai, Turkish, Spanish - Spain, Korean, Portuguese - Brazil, Traditional Chinese, Italian, Simplified Chinese, Ukrainian, Dutch, Spanish - Latin America",0.0,"MMO, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud",13,3.68,4,64,18470000
Tom Clancy's Rainbow Six® Siege,84,1188329,"1 Dec, 2015",Ubisoft Montreal,"FPS, Tactical, War",win,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Simplified Chinese, Turkish, Thai",15.99,"Single-player, Online PvP, Online Co-op, Steam Trading Cards, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",17,3.95,4,70,54370000
eFootball™,47,91979,"30 Sep, 2021",KONAMI,"Sports, Simulation, Realistic",win,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Indonesian",0.0,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, In-App Purchases",0,3.75,3,51,6830000
Dying Light 2 Stay Human: Reloaded Edition,79,145521,"4 Feb, 2022",Techland,"Open World, Horror, RPG, Survival",win,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Arabic, Czech, Japanese, Portuguese - Portugal, Simplified Chinese, Traditional Chinese, Turkish",46.0,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",17,3.45,3,46,6400000
Drive Beyond Horizons,80,5599,"24 Mar, 2025",Drive Beyond Horizons,"Early Access, Adventure, Action, Simulation, Driving",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Polish, Portuguese - Brazil, Arabic, Korean, Russian, Simplified Chinese, Portuguese - Portugal, Spanish - Latin America",12.49,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",10,3.23,3,25,603200
"Warhammer 40,000: Space Marine 2",83,118194,"9 Sep, 2024",Saber Interactive,"Action, Adventure, RPG, Shooter",win,"English, French, Italian, German, Spanish - Spain, Russian, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Ukrainian, Thai",39.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.8,3,19,6230000
Total War: WARHAMMER III,72,83564,"17 Feb, 2022",CREATIVE ASSEMBLY,"Turn-Based, Strategy, War, Fantasy, Tactical","win, mac, linux","English, French, Italian, German, Spanish - Spain, Czech, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish",49.99,"Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.88,4,79,3700000
Clair Obscur: Expedition 33,95,69546,"24 Apr, 2025",Sandfall Interactive,"Turn-Based, Combat, Story Rich, Fantasy, JRPG, Souls-like, Adventure",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",34.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,4.41,4,51,3020000
Left 4 Dead 2,97,732065,"17 Nov, 2009",Valve,"FPS, Action, Survival, Horror","win, linux","English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",5.79,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Stats, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing, Steam Timeline",17,4.01,3,40,65370000
Black Desert,75,58929,"17 May, 2018",Pearl Abyss,"MMORPG, Open World",win,"English, French, German, Spanish - Spain, Japanese, Russian, Thai, Turkish, Traditional Chinese, Portuguese - Brazil, Spanish - Latin America",4.99,"MMO, Online PvP, Online Co-op, Steam Trading Cards, In-App Purchases",13,3.31,3,68,3930000
DayZ,77,355731,"13 Dec, 2018",Bohemia Interactive,"Survival, Open World, FPS, Adventure, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Czech, Russian, Simplified Chinese, Traditional Chinese, Japanese, Polish, Portuguese - Brazil",59.99,"MMO, Online PvP, Online Co-op, Steam Achievements, Steam Workshop, Steam Cloud",17,3.48,4,67,15000000
Tainted Grail: The Fall of Avalon,87,8013,"23 May, 2025",Questline,"Adventure, Open World, RPG, Fantasy",win,"English, Polish, French, German, Traditional Chinese, Simplified Chinese, Italian, Spanish - Spain, Czech, Japanese, Portuguese - Brazil, Russian",20.99,"Single-player, Steam Cloud, Family Sharing",17,3.4,3,29,335200
VRChat,75,239795,"1 Feb, 2017",VRChat Inc.,"Anime, Simulation, Open World, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",0.0,"MMO, Online PvP, Online Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Supported, In-App Purchases",0,3.41,1,54,27550000
Schedule I,98,184389,"25 Mar, 2025",TVGS,"Early Access, Simulation, Action, Open World",win,English,10.49,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",13,3.0,3,43,6990000
Forza Horizon 5,88,206719,"9 Nov, 2021",Playground Games,"Open World, Driving, Simulation, Sports",win,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish",32.78,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing",0,3.98,3,62,6970000
Marvel Rivals,79,283753,"6 Dec, 2024",NetEase Games,"Shooter, Action, Strategy",win,"English, French, Italian, German, Spanish - Spain, Russian, Turkish, Thai, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Korean, Japanese, Polish, Portuguese - Brazil, Arabic",0.0,"Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases",13,3.38,3,27,26240000
Limbus Company,83,62292,"27 Feb, 2023",ProjectMoon,"Story Rich, Turn-Based, RPG",win,"English, Japanese, Korean",0.0,"Single-player, In-App Purchases",17,4.07,4,45,2310000
NBA 2K25,59,22284,"28 Oct, 2024",Visual Concepts,"Sports, Simulation, Realistic",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese",69.99,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, In-App Purchases, Steam Cloud, Remote Play Together, Family Sharing",0,3.5,3,65,1630000
Tom Clancy’s The Division® 2,77,19554,"12 Jan, 2023",Ubisoft,"Open World, Shooter, Action, RPG",win,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",23.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Captions available, In-App Purchases, HDR available",17,3.92,3,63,1390000
ELDEN RING,92,764598,"25 Feb, 2022","FromSoftware, Inc.","Souls-like, Open World, Fantasy, RPG",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Arabic",39.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.2,4,80,42760000
Mount & Blade II: Bannerlord,87,204795,"25 Oct, 2022",TaleWorlds Entertainment,"Strategy, Open World, RPG, War",win,"English, Simplified Chinese, Turkish, Traditional Chinese, French, Italian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, German",19.99,"Single-player, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Tablet, Family Sharing",17,3.91,3,73,10820000
Warframe,87,618991,"25 Mar, 2013",Digital Extremes,"RPG, Shooter, Action",win,"English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Polish, Portuguese - Brazil, Traditional Chinese, Turkish, Ukrainian, Thai",0.0,"Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, HDR available",17,3.79,3,79,52890000
Euro Truck Simulator 2,97,657017,"18 Oct, 2012",SCS Software,"Driving, Simulation, Open World, Realistic","win, mac, linux","English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Portuguese - Portugal, Polish, Danish, Dutch, Finnish, Norwegian, Swedish, Hungarian, Czech, Romanian, Turkish, Portuguese - Brazil, Bulgarian, Greek, Ukrainian, Traditional Chinese, Catalan, Lithuanian, Serbian, Slovak, Slovenian",10.09,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0,3.99,3,80,41660000
Sniper Elite 5,83,17456,"26 May, 2022",Rebellion,"Stealth, Action, FPS",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",49.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Family Sharing",17,3.57,3,24,2290000
Blazing Sails,88,7460,"13 Nov, 2023",Get Up Games,"Combat, Open World, Survival",win,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Polish",7.99,"Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards",10,2.5,3,4,404500
THRONE AND LIBERTY,68,63378,"1 Oct, 2024",NCSOFT,"MMORPG, Open World",win,"English, French, German, Spanish - Spain, Japanese, Portuguese - Brazil, Spanish - Latin America, Korean",0.0,"MMO, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases",13,3.5,2,47,4300000
The Elder Scrolls® Online,82,127548,"4 Apr, 2014",ZeniMax Online Studios,"MMORPG, Open World, Fantasy, Action","win, mac","English, French, German, Russian, Spanish - Spain, Simplified Chinese",11.99,"MMO, Online PvP, Online Co-op, Steam Trading Cards, Captions available, In-App Purchases, HDR available, Family Sharing",17,3.42,3,73,9270000
9 Kings,93,2678,"23 May, 2025",Sad Socket,"Strategy, RPG, Roguelike, Fantasy","win, mac","English, German, Simplified Chinese, Traditional Chinese, Korean, Japanese, Portuguese - Brazil, Portuguese - Portugal, Spanish - Spain, Spanish - Latin America, French, Italian, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Norwegian, Polish, Romanian, Russian, Swedish, Turkish, Ukrainian, Filipino, Malay, Slovak",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.57,4,20,179600
DOOM: The Dark Ages,86,13350,"15 May, 2025",id Software,"Action, FPS, Fantasy",win,"English, French, Italian, German, Spanish - Spain, Arabic, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Japanese, Turkish",49.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing",17,3.88,3,21,649500
The Planet Crafter,96,50216,"10 Apr, 2024",Miju Games,"Open World, Crafting, Building, Survival, Automation",win,"English, French, German, Spanish - Spain, Simplified Chinese, Russian, Polish, Portuguese - Portugal, Korean, Japanese, Portuguese - Brazil, Italian, Traditional Chinese, Turkish",12.49,"Single-player, Online Co-op, Steam Achievements, Family Sharing",0,3.92,3,41,1730000
The Last of Us™ Part II Remastered,90,14704,"3 Apr, 2025",Naughty Dog LLC,"Story Rich, Shooter, Action, Stealth, Horror",win,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Croatian",49.99,"Single-player, Steam Achievements, Steam Cloud, HDR available, Family Sharing",17,3.98,3,40,710600
Shop Titans,78,16900,"5 May, 2020","Kabam Games, Inc.","Crafting, RPG, Simulation, Management, Building",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish, Ukrainian",0.0,"Single-player, MMO, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases",10,2.9,2,45,3100000
Knight Online,50,10881,"26 Jan, 2016",Noah System,"MMORPG, Action, Adventure",win,"English, Turkish",0.0,"Single-player, MMO, Steam Trading Cards, In-App Purchases",13,2.64,5,80,2030000
Call of Duty®: Warzone™,31,44778,"16 Nov, 2022",Infinity Ward,"FPS, Action, Survival",win,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",0.0,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Captions available, In-App Purchases",17,2.88,3,19,70450000
Insurgency: Sandstorm,85,98438,"12 Dec, 2018",New World Interactive,"FPS, Realistic, War, Tactical",win,"English, French, Italian, German, Simplified Chinese, Russian, Spanish - Latin America, Spanish - Spain, Traditional Chinese, Korean, Danish, Finnish, Hungarian, Japanese, Norwegian, Dutch, Polish, Portuguese - Portugal, Portuguese - Brazil, Swedish, Czech, Thai, Turkish",20.99,"Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Family Sharing",17,3.78,4,59,6040000
Diablo® IV,71,36156,"17 Oct, 2023","Blizzard Entertainment, Inc.","Action, RPG, Fantasy",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Turkish",49.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases",17,3.7,4,71,1540000
Conqueror's Blade,68,34150,"6 Apr, 2020",Booming Tech,"Combat, MMORPG, Action, War, Strategy, Sandbox",win,"English, Simplified Chinese, Traditional Chinese, Spanish - Spain, Japanese, Thai, Vietnamese, Korean, Portuguese - Brazil, Spanish - Latin America, French, German, Polish, Russian, Turkish",0.0,"MMO, Online PvP, Online Co-op, Steam Achievements, In-App Purchases",13,3.13,1,4,3130000
Dead Island 2,77,9355,"22 Apr, 2024",Dambuster Studios,"FPS, Adventure, Horror, Crafting, Survival",win,"English, French, Italian, German, Spanish - Spain, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",37.49,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.34,3,26,761600
Assassin's Creed® Origins,85,104597,"27 Oct, 2017",Ubisoft Montreal,"Open World, Action, RPG, Stealth",win,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",47.99,"Single-player, Steam Achievements, Steam Trading Cards, Captions available, In-App Purchases, Remote Play on Tablet, HDR available",17,4.01,3,64,5960000
The Elder Scrolls IV: Oblivion Remastered,81,44197,"22 Apr, 2025",Bethesda Game Studios,"RPG, Open World, Fantasy, Adventure, Action",win,"English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Simplified Chinese",34.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.19,3,64,2280000
Hearts of Iron IV,91,237186,"6 Jun, 2016",Paradox Development Studio,"Strategy, War, Simulation, Sandbox","win, mac, linux","English, French, German, Polish, Portuguese - Brazil, Russian, Spanish - Spain, Japanese, Simplified Chinese",29.99,"Single-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing",10,3.7,4,74,11460000
Dying Light,95,337287,"26 Jan, 2015",Techland,"Survival, Horror, RPG, Open World, Crafting, Action",win,"English, French, Italian, German, Spanish - Spain, Dutch, Polish, Portuguese - Brazil, Russian, Korean, Simplified Chinese, Spanish - Latin America, Japanese, Thai, Traditional Chinese, Turkish, Czech",19.49,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Tablet, Remote Play on TV, Family Sharing",17,3.78,3,41,19550000
Delta Force,63,110910,"5 Dec, 2024",Team Jade,"FPS, Action, Tactical",win,"English, Simplified Chinese, French, German, Russian, Spanish - Latin America, Arabic, Japanese, Korean, Portuguese - Brazil, Traditional Chinese, Turkish",0.0,"Single-player, MMO, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases",13,3.03,4,80,189300
Black Myth: Wukong,96,834314,"20 Aug, 2024",Game Science,"RPG, Action, Souls-like, Fantasy",win,"English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Italian, Turkish, Thai",59.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.79,4,45,70830000
Stray,97,139200,"19 Jul, 2022",BlueTwelve Studio,"Adventure, Open World, Cute, Stealth","win, mac","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Dutch, Portuguese - Portugal",14.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",10,3.84,2,8,5390000
Call of Duty®: Black Ops 6,45,11721,"25 Oct, 2024",Treyarch,"Action, FPS",win,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Russian, Traditional Chinese, Japanese, Spanish - Latin America, Arabic, Simplified Chinese, Portuguese - Brazil",69.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Captions available, In-App Purchases",17,3.6,3,28,70450000
Path of Exile 2,72,126639,"6 Dec, 2024",Grinding Gear Games,"Action, Adventure, RPG, Souls-like",win,"English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Thai",29.99,"Single-player, MMO, Online Co-op, HDR available",17,4.36,4,73,7000000
